Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",15.000000,13.107500,90.000000,top
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",15.000000,8.107500,90.000000,top
"C3","18nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",51.500000,64.500000,90.000000,top
"C4","18nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",49.500000,64.500000,90.000000,top
"C5","18nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",39.000000,64.500000,90.000000,top
"C6","18nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",43.000000,64.500000,90.000000,top
"C7","18nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",25.000000,64.500000,90.000000,top
"C8","18nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",29.000000,64.500000,90.000000,top
"C9","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",66.500000,23.500000,-90.000000,top
"C10","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",64.000000,23.500000,-90.000000,top
"C11","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",64.000000,19.500000,-90.000000,top
"C12","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",66.500000,19.500000,-90.000000,top
"C13","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",66.500000,15.500000,90.000000,top
"C14","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",60.500000,26.500000,0.000000,top
"C15","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",53.500000,26.500000,0.000000,top
"C16","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",53.500000,29.000000,0.000000,top
"C17","18nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",59.000000,32.007391,180.000000,top
"C18","18nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",63.000000,32.007391,0.000000,top
"C19","18nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",42.000000,32.000000,180.000000,top
"C20","18nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",46.000000,32.000000,0.000000,top
"C21","18nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",24.733466,32.007391,180.000000,top
"C22","18nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",28.733466,32.007391,0.000000,top
"C23","18nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",7.233466,32.007391,180.000000,top
"C24","18nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",11.233466,32.007391,0.000000,top
"C25","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",31.500000,22.000000,0.000000,top
"C26","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",36.500000,22.000000,180.000000,top
"C27","10pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",45.000000,19.500000,90.000000,top
"C28","10pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",46.000000,16.000000,0.000000,top
"C71","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",6.842500,9.850000,180.000000,top
"C72","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",10.842500,9.850000,180.000000,top
"D14","UAD8C05L01","D_SOD-882",43.500000,10.500000,-90.000000,top
"D15","UAD8C05L01","D_SOD-882",41.000000,10.500000,-90.000000,top
"D16","UAD8C05L01","D_SOD-882",38.500000,10.500000,-90.000000,top
"D17","UAD8C05L01","D_SOD-882",36.000000,10.500000,-90.000000,top
"D18","UAD8C05L01","D_SOD-882",33.500000,10.500000,-90.000000,top
"D20","UAD8C05L01","D_SOD-882",31.000000,10.500000,-90.000000,top
"D21","UAD8C05L01","D_SOD-882",28.500000,10.500000,-90.000000,top
"D22","UAD8C05L01","D_SOD-882",28.500000,13.000000,-90.000000,top
"D23","UAD8C05L01","D_SOD-882",31.000000,13.000000,-90.000000,top
"D24","UAD8C05L01","D_SOD-882",33.500000,13.000000,-90.000000,top
"D25","UAD8C05L01","D_SOD-882",36.000000,13.000000,-90.000000,top
"D26","UAD8C05L01","D_SOD-882",38.500000,13.000000,-90.000000,top
"D27","UAD8C05L01","D_SOD-882",41.000000,13.000000,-90.000000,top
"D28","UAD8C05L01","D_SOD-882",43.500000,13.000000,-90.000000,top
"J1","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Horizontal",43.890000,7.160000,-90.000000,top
"J2","Screw_Terminal_01x08","TerminalBlock_Phoenix_MKDS-1-8-3.81_1x08_P3.81mm_Horizontal",48.340000,75.417500,180.000000,top
"PS1","B0505-1W","Converter_DCDC_Murata_MEE1SxxxxSC_THT",18.000000,14.607500,0.000000,top
