Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",69.000000,41.505000,180.000000,bottom
"C10","620nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",136.500000,21.500000,180.000000,bottom
"C16","620nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",147.500000,21.500000,180.000000,bottom
"C35","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",34.500000,41.505000,180.000000,bottom
"C36","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",57.500000,41.500000,180.000000,bottom
"C37","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",23.000000,41.505000,180.000000,bottom
"C38","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",46.000000,41.500000,180.000000,bottom
"C39","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",11.500000,41.505000,180.000000,bottom
"C40","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",138.000000,41.505000,180.000000,bottom
"C41","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",103.500000,41.505000,180.000000,bottom
"C42","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",126.500000,41.505000,180.000000,bottom
"C43","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",92.000000,41.505000,180.000000,bottom
"C44","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",115.000000,41.505000,180.000000,bottom
"C45","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",80.500000,41.455000,180.000000,bottom
"C46","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",40.405000,24.582500,90.000000,bottom
"C47","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",37.905000,24.582500,90.000000,bottom
"C48","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",32.405000,24.582500,-90.000000,bottom
"C50","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",24.905000,17.582500,0.000000,bottom
"C51","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",30.405000,24.582500,-90.000000,bottom
"C64","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",107.000000,19.500000,180.000000,bottom
